logFC AveExpr t P.Value adj.P.Val B
ENSG00000062038 6.66193953818102 5.90276135924777 39.8216723323546 6.54900407969886e-157 1.21497123686573e-152 348.22865148159
ENSG00000164283 6.48887599082206 2.26981891769977 35.344483982022 7.58843882252323e-138 7.03903585177255e-134 303.822099117475
ENSG00000167767 7.27172784964137 4.45465215597141 33.9866139025636 7.50508939030583e-132 4.64114727896513e-128 290.650809978271
ENSG00000175832 5.55535336612527 6.24521947291214 31.8786387208684 2.35503352602639e-122 1.09226454937104e-118 268.921005028457
ENSG00000129474 3.36736177062747 4.31853252118884 30.4824501429949 6.06911178011593e-116 2.25188323489421e-112 254.186998239252
ENSG00000120254 2.64718852635878 5.53150356523348 30.1745721418531 1.61879741675594e-114 5.00532161260937e-111 250.914282845612
ENSG00000101115 5.10461000608324 1.0688621479895 29.8341927483095 6.1773619954754e-113 1.637177424858e-109 247.142669549824
ENSG00000105989 6.62086485435261 2.5043148852332 29.6354427031186 5.20838350191944e-112 1.20782413409512e-108 244.727575170185
ENSG00000181577 5.76586672363579 4.39984097072695 27.5369686930912 3.91960019279472e-102 8.07960253074752e-99 222.467986127642
ENSG00000169764 -2.03040849995246 6.73060318839963 -26.6096712362602 1.02432321139549e-97 1.90032442178091e-94 212.290997031084
ENSG00000122641 5.79567048998597 5.08279275307421 26.5868535113188 1.31670960770758e-97 2.22069060383555e-94 212.073462329702
ENSG00000182938 -6.48849140081555 -5.10696133252312 -26.5145971575848 2.91698352779799e-97 4.50965653397569e-94 208.728562971823
ENSG00000163815 -4.74106664596361 1.41655777663698 -26.0339431573218 5.84669835170481e-95 8.34368829390982e-92 205.713434813555
ENSG00000163347 5.01634280668051 6.01740759488592 25.8527473254334 4.32969774675409e-94 5.7374680426987e-91 203.975106074674
ENSG00000180875 -4.91773129728391 1.01191516932005 -25.7254782113466 1.76912554409331e-93 2.1880544729346e-90 202.587926905877
ENSG00000204869 5.43303617166135 -0.076442346186409 25.4655395423369 3.14515324936858e-92 3.43228724013446e-89 199.683879816971
ENSG00000167916 -6.8714789517728 -5.13413592195104 -25.5122707450774 1.87417928038634e-92 2.17311087560796e-89 197.955620259604
ENSG00000108231 -5.78677283497645 -4.67387247482588 -25.042344424647 3.43668690902644e-90 3.54207864090325e-87 193.514867136995
ENSG00000166091 -4.5815006720799 -5.18595160681111 -24.9275760961957 1.22939334413483e-89 1.20040554317838e-86 191.958917169527
ENSG00000050344 2.64087796694995 6.91082894436409 24.7535815988146 8.50059194457853e-89 7.88514908779104e-86 191.790859544704
ENSG00000101255 3.94992651360778 5.7776371692217 24.3549387699269 7.17379732693621e-87 6.33753752425336e-84 187.378169514989
ENSG00000070748 -4.20729102326415 -5.47283130006611 -24.2031815501032 3.88898720726251e-86 3.279476848597e-83 183.76617973967
ENSG00000103888 5.28899909342733 6.48595948729719 23.9235047237762 8.78415860512849e-85 7.08537871488451e-82 182.598287555737
ENSG00000179431 3.23559466374053 2.1668800344734 23.6269865229108 2.40073719890357e-83 1.85576985475246e-80 179.288882763902
ENSG00000157766 4.01744122363593 2.64943272508727 23.6100707536639 2.89959381270699e-83 2.1517305765336e-80 179.144367336894
ENSG00000105464 5.02245124861013 4.85954906120073 23.5297660274403 7.10607838878233e-83 5.07046024110345e-80 178.223657990751
ENSG00000105948 2.03533036411465 3.21532763040165 23.2536035052535 1.55212675456036e-81 1.02839484109299e-78 175.185639022238
ENSG00000088256 -1.82534260231092 7.26161654395328 -23.1947121981536 2.99659881093618e-81 1.91699659105131e-78 174.440741292579
ENSG00000197953 -4.35542753163165 -5.3609268352219 -23.2765352511633 1.20139625209666e-81 8.25492713662861e-79 173.683923423909
ENSG00000071539 2.66614782747788 4.61025998343339 23.1030934310586 8.33992342638844e-81 5.15740864687861e-78 173.497534939807
ENSG00000170373 7.87833890438926 2.40928928406552 23.0878959747109 9.88340723308836e-81 5.91474099962114e-78 173.342207724037
ENSG00000137868 5.07540466628031 2.1093087589934 23.0189294643401 2.13591761884654e-80 1.23829823952628e-77 172.571785050667
ENSG00000196950 2.05931476396482 5.2953112825899 22.970316420612 3.67716310739427e-80 2.06723424146602e-77 171.95006076729
ENSG00000186451 4.32234137397755 -0.281776470507738 22.9503126151989 4.59832818488673e-80 2.50906424958878e-77 171.417053061595
ENSG00000141338 -5.2686485290352 0.748519689618396 -22.8868086130389 9.35038772463215e-80 4.95623980192502e-77 171.025033706646
ENSG00000168477 -4.17252467331308 2.47015553233039 -22.7422005241435 4.70763984160445e-79 2.42600373170683e-76 169.491334154798
ENSG00000172031 4.90008735101665 2.25261846246797 22.6534190279061 1.27007288546786e-78 6.36821410032423e-76 168.483819323901
ENSG00000158106 3.18772615820125 4.49263574790225 22.6065960564906 2.1436937025243e-78 1.04657383076923e-75 167.918917696632
ENSG00000079689 -6.40865311425018 -2.01441050953186 -22.4310423789918 1.52605502911511e-77 7.07784322503589e-75 165.769483044843
ENSG00000196666 -4.3723747239756 -5.21237998823098 -22.4966023339863 7.33215496862564e-78 3.48784971738315e-75 165.175859882206
ENSG00000249859 3.1056623801669 3.57413091376526 22.1433066854726 3.80879058504587e-76 1.68239721270883e-73 162.823753525535
ENSG00000015592 -4.9706808435966 -4.79079358411288 -22.2011887657351 1.99395510000414e-76 9.02240366226262e-74 162.344157514622
ENSG00000178773 5.4099477921122 4.0915909442698 22.028528779214 1.37445701149349e-75 5.92998290168077e-73 161.508620563517
ENSG00000005001 4.67835038477301 3.84420602866958 21.9710626130312 2.61317965760959e-75 1.10181156836302e-72 160.906694613412
ENSG00000173898 3.18864419279747 4.88678834254978 21.910692920229 5.13212088799964e-75 2.11580237142599e-72 160.140214130745
ENSG00000155545 -1.86402403320914 5.26629053449979 -21.8854958794691 6.80203545272583e-75 2.74329047215151e-72 159.85854111818
ENSG00000197905 2.30035215354377 4.86809446299684 21.7794766391087 2.22525726770173e-74 8.78361124051118e-72 158.74311726241
ENSG00000006327 2.61183535689527 5.75739340567637 21.7046056961613 5.13879692396954e-74 1.94561143945884e-71 157.842359792369
ENSG00000196616 -5.88572625243437 1.46509470397256 -21.6858190874929 6.33959681014118e-74 2.35224400043478e-71 157.703935163313
ENSG00000157193 3.55100254739194 4.19772708352667 21.6646024466966 8.03630025303784e-74 2.92332239792859e-71 157.487014038757
ENSG00000112559 3.82530703869733 3.5820538346245 21.6461057550807 9.8819987857044e-74 3.52559310523823e-71 157.289851064253
ENSG00000183034 -10.0416803347118 -3.49500902493543 -21.7401593414726 3.45350514919269e-74 1.33477974016297e-71 156.936211767683
ENSG00000155324 -1.72642845818679 4.43436681701129 -21.3805105929021 1.92251470076075e-72 6.72952692990819e-70 154.242643176212
ENSG00000114656 3.71866900102823 1.85102487236176 21.3548789414316 2.55999704506405e-72 8.7950120703756e-70 154.038709834912
ENSG00000143196 -4.051117205357 2.38379585966719 -21.2946131341026 5.0192318761223e-72 1.69303254119674e-69 153.322536359469
ENSG00000088826 2.39827491079257 4.22873628204928 21.286936853029 5.46863051400766e-72 1.81167916599768e-69 153.191785102473
ENSG00000198894 -1.3501625725958 4.94693750347725 -21.283803314854 5.66344533537671e-72 1.84330241862998e-69 153.173559681213
ENSG00000163811 1.23793551188015 6.19974050745977 21.2190791947085 1.16697889968953e-71 3.73272285293796e-69 152.40176579867
ENSG00000040199 -2.39457726653154 4.40474112921308 -21.2024952376446 1.40444983012072e-71 4.41616156752536e-69 152.306816362828
ENSG00000011426 2.19216759132625 5.78046965206136 21.1151316816621 3.72587045923571e-71 1.15203914599568e-68 151.263149100796
ENSG00000181652 3.48413252847303 1.76178551493967 21.0921307701718 4.81692420146914e-71 1.46497668501075e-68 151.126486124231
ENSG00000165072 -5.64240836251657 -0.798683185432084 -21.0681891827624 6.29313322848079e-71 1.88306786539961e-68 150.727499216374
ENSG00000164379 6.21294435008948 4.66673247959 21.0529630315394 7.45929302441592e-71 2.19658419347562e-68 150.634425136288
ENSG00000103257 2.93288510509706 7.13382664441585 21.0240993893437 1.02955109773998e-70 2.98441124457378e-68 150.233068063089
ENSG00000276023 2.28047332017583 3.82255540153388 21.0030380960622 1.30244821011508e-70 3.71738756831614e-68 150.131844360052
ENSG00000273604 3.67095181704418 3.56151853442163 20.9464925389188 2.44841177745051e-70 6.77954258138235e-68 149.505148070102
ENSG00000115363 3.87027928131332 2.59632273883934 20.9165148319339 3.42132362127303e-70 9.33417585615546e-68 149.151222628114
ENSG00000034971 -7.11125887124431 -4.21614564151733 -20.9848135468408 1.59630123273264e-70 4.48705764691757e-68 149.019597814376
ENSG00000184949 2.9645072422657 0.988554770885845 20.8435935366316 7.71986165238502e-70 2.07563584601517e-67 148.325389327875
ENSG00000006118 2.44751084081742 5.28395188239595 20.7923186061362 1.36794361943323e-69 3.62544143253218e-67 147.66113252229
ENSG00000101187 3.50366985964966 5.69394724133382 20.7617772446298 1.92327235742921e-69 5.02542940493334e-67 147.377441506583
ENSG00000103494 1.65931403358152 3.88773946718789 20.6174018674975 9.6235045534017e-69 2.45533990798584e-66 145.820950199463
ENSG00000168309 -3.74158612937245 1.26471471663802 -20.6170486315885 9.66148195790032e-69 2.45533990798584e-66 145.753823113525
ENSG00000122778 2.41531918976592 4.6321675953528 20.5681884714116 1.66579043672791e-68 4.17618164624001e-66 145.180754731232
ENSG00000119919 -3.13487441335307 1.81867432306655 -20.5509018632658 2.01980918879932e-68 4.93046053560592e-66 145.113390635789
ENSG00000233670 -5.03052248636614 -2.76302677528095 -20.5537735980878 1.95617514723805e-68 4.83879484420805e-66 145.026395844369
ENSG00000169247 3.72610388603949 3.02609375988224 20.4516266283223 6.1069682507263e-68 1.41620593734343e-65 143.993720735886
ENSG00000136044 -1.65931606209962 5.94664375508078 -20.4613110317022 5.48225401224418e-68 1.29813697083645e-65 143.968980542907
ENSG00000111846 -4.11250667137803 0.732793486324771 -20.4605676191561 5.52785795041395e-68 1.29813697083645e-65 143.884546609959
ENSG00000165553 -5.08659952795858 -5.0425401529956 -20.4927265486229 3.86291432745959e-68 9.30711514325068e-66 143.301731992277
ENSG00000067113 -1.94436675818608 4.61656766623275 -20.3184523631275 2.69225540881382e-67 6.0176773908812e-65 142.447256832139
ENSG00000111404 -6.06732789355861 -3.46464089682735 -20.3258397481428 2.47962497937387e-67 5.67925958238815e-65 142.20345756629
ENSG00000171617 2.10758924923421 7.32473660783435 20.2843085366876 3.93770524118229e-67 8.69670328981117e-65 142.002489659249
ENSG00000125851 -6.2617795884005 -3.733054634142 -20.3206143382784 2.6282074544189e-67 5.94615910907067e-65 141.869999359954
ENSG00000070882 1.89395576412463 5.35903489065345 20.2549110122658 5.46255570419256e-67 1.19225098146094e-64 141.688234687807
