logFC AveExpr t P.Value adj.P.Val B
ENSG00000183034 -10.2913515258017 -3.49500902493543 -26.1624266163644 2.33725487968255e-95 4.33607525278707e-91 205.799657467198
ENSG00000168748 -7.53027763369971 0.406029089045427 -25.8368267213436 8.40254328379623e-94 5.19613276669959e-90 202.98420878147
ENSG00000167916 -7.10292999524605 -5.13413592195104 -25.8401867961732 8.09731243175617e-94 5.19613276669959e-90 201.521281554961
ENSG00000142959 -6.34986076564428 0.251419369626373 -25.684711654528 4.4899722589724e-93 2.0824491337114e-89 201.293725742718
ENSG00000163815 -4.31827545208495 1.41655777663698 -25.092548746535 3.10027082208586e-90 1.15032448582674e-86 194.945325008908
ENSG00000182938 -6.06241994439547 -5.10696133252312 -24.7638941422925 1.1770695073452e-88 3.63949891671137e-85 189.827668243933
ENSG00000197953 -4.56584681065095 -5.3609268352219 -22.548165857543 5.83717641060987e-78 1.54701852528049e-74 165.453814041575
ENSG00000164283 6.67167510282674 2.26981891769977 22.2896335035118 1.04028135571851e-76 2.32298028976563e-73 163.663499546583
ENSG00000166091 -4.72757766341044 -5.18595160681111 -22.2824529004467 1.12693092970519e-76 2.32298028976563e-73 162.627790004277
ENSG00000108231 -5.75880686264396 -4.67387247482588 -22.0316408573036 1.84321848642021e-75 3.41953893600677e-72 160.207565837657
ENSG00000044012 -8.95511117386595 -1.38874974003526 -21.8044200372032 2.31760072795319e-74 3.90873897318069e-71 158.551369150768
ENSG00000196666 -4.52446778238965 -5.21237998823098 -21.5321285174413 4.81214845234865e-73 7.43958150733101e-70 154.429974092772
ENSG00000169764 -1.84806901801847 6.73060318839963 -21.3114753908162 5.61678965064146e-72 8.01559089220772e-69 153.138888861802
ENSG00000070748 -3.9656104728076 -5.47283130006611 -21.0145006484334 1.53131178484657e-70 2.02920687374811e-67 148.727465138269
ENSG00000133800 -4.61473191762259 1.15181620991911 -20.8509217068455 9.44867690475514e-70 1.16861235958012e-66 148.111802240606
ENSG00000133742 -10.0845159837962 0.78066305102895 -20.5564961954141 2.49387396735948e-68 2.89164686515332e-65 144.9008752983
ENSG00000197273 -6.58908724901305 2.58735947319237 -20.4869018846647 5.40345442627453e-68 5.56916036201361e-65 144.105402776205
ENSG00000131096 -8.66872210028443 -1.47002732872804 -20.4960464669802 4.88149937357043e-68 5.32715155167521e-65 144.031359187597
ENSG00000062038 6.77971493178739 5.90276135924777 20.2336892646191 8.98803475349436e-67 8.77610635509618e-64 141.30198743638
ENSG00000111846 -3.97073876210495 0.732793486324771 -20.169764529473 1.82684753296297e-66 1.69458377157645e-63 140.559886462089
ENSG00000105989 6.68750451678308 2.5043148852332 20.1495419085943 2.28629085902163e-66 2.01977466745568e-63 140.156863181538
ENSG00000120254 2.5832398513423 5.53150356523348 20.1119232847223 3.47014207114004e-66 2.92627616835409e-63 139.951297258019
ENSG00000168079 -5.82476061354661 1.12932004783052 -20.0336683409355 8.26439877427742e-66 6.38838025251645e-63 139.127987764751
ENSG00000162461 -4.06688971967339 0.0620251885157306 -20.0356216163687 8.08735180500953e-66 6.38838025251645e-63 139.026068925861
ENSG00000050344 2.77668234365948 6.91082894436409 19.9818287668612 1.46819192461695e-65 1.08951586341974e-62 138.442501459022
ENSG00000165553 -5.19809197326451 -5.0425401529956 -19.8183287753944 8.98425164100454e-65 6.41060909399678e-62 135.871253801913
ENSG00000187699 -3.8226825105229 3.09365254759448 -19.5762499990519 1.30902239865218e-63 8.99443834807229e-61 134.077465716496
ENSG00000187091 -2.30511456618838 4.11794823167267 -19.508989966373 2.75363154844377e-63 1.82447758881174e-60 133.255936414413
ENSG00000167434 -7.92513673786755 1.3920626999888 -19.3930337414199 9.91646806686005e-63 6.34380398539268e-60 132.05977255458
ENSG00000240498 -6.11843890688804 -0.443257948334763 -19.3318187898031 1.94958135414675e-62 1.20562110940435e-59 131.345276642032
ENSG00000135549 -4.31151279804528 2.97409596653068 -19.0780357052369 3.20413124041156e-61 1.91751750877791e-58 128.591630512311
ENSG00000141338 -5.39708194576138 0.748519689618396 -19.0526151023707 4.23997214077803e-61 2.45812384861606e-58 128.318506293708
ENSG00000170419 -6.61936876931183 -3.73686493814165 -19.0097941458235 6.79567038958613e-61 3.82040233538187e-58 127.475942898121
ENSG00000115263 -8.40838231512995 -1.6649738379333 -18.9104381201516 2.02915280691193e-60 1.107201260995e-57 126.747137399341
ENSG00000182271 -8.93688158701639 -1.6515737009889 -18.7641401760352 1.0142525846509e-59 5.3761182715553e-57 125.081647232175
ENSG00000129474 3.40206306215006 4.31853252118884 18.6731311966366 2.75696198206603e-59 1.38235564030511e-56 124.191112974551
ENSG00000040731 -3.96309232490263 -5.30218413538728 -18.6787802553451 2.5911007241992e-59 1.33528057320399e-56 123.425761331394
ENSG00000175832 5.76325545218722 6.24521947291214 18.5949022742762 6.50800345983262e-59 3.17727579438986e-56 123.336311251698
ENSG00000125851 -6.3986671336358 -3.733054634142 -18.57912011029 7.73871947750781e-59 3.58921809366812e-56 122.712579635914
ENSG00000102683 -4.52816832908396 -4.8842162925653 -18.5792279597662 7.72956594317582e-59 3.58921809366812e-56 122.457545599539
