logFC AveExpr t P.Value adj.P.Val B
ENSG00000163815 -5.21665414370673 1.06874155949143 -14.7259236360934 1.52195061183148e-39 2.82352277506977e-35 78.635300944271
ENSG00000126218 -4.37111445930558 -0.422708784075102 -12.8710834172223 5.65456132952724e-32 5.24517108926947e-28 61.208032789726
ENSG00000196666 -4.88370496246082 -5.45766279034695 -12.5927441052235 7.16260672247635e-31 4.42935599717937e-27 57.9499192088002
ENSG00000179796 -6.28536507526002 -5.0096234776385 -12.2410508496067 1.7126206473698e-29 7.94313456250114e-26 54.9920330680476
ENSG00000164530 -9.39455640633959 -1.50299998411564 -12.0596177663599 8.67172366911597e-29 3.21755635018879e-25 53.98271961238
ENSG00000170312 3.43005840546993 6.24599536835962 11.8622309492895 5.00074426622305e-28 1.54623012711617e-24 52.8559002119551
ENSG00000131747 3.60400464320715 7.18600173027099 11.7713629021795 1.11523241048924e-27 2.95568452562806e-24 52.017048487648
ENSG00000148773 3.56457515541768 6.73646667051125 11.5856352951338 5.69324561441271e-27 1.32026365798231e-23 50.4216356363299
ENSG00000121671 -1.68351375646818 4.53481367404777 -11.5447288448527 8.13890570425967e-27 1.67769976250473e-23 50.0848322685848
ENSG00000115507 5.09378488010108 1.49712230528306 11.5207044340211 1.00367756915221e-26 1.74732392005874e-23 49.5795180971436
ENSG00000162062 3.42692813035292 3.15047697058487 11.4789577409934 1.44394740613116e-26 2.19332850007446e-23 49.5165644082955
ENSG00000100307 -2.6828854774725 4.28223356812678 -11.4717866685877 1.53693782346744e-26 2.19332850007446e-23 49.4687515184227
ENSG00000153446 -6.16455490295029 -1.11700058557644 -11.5170651447895 1.03603725316118e-26 1.74732392005874e-23 49.3672648464328
ENSG00000051341 3.62313987555397 3.62809995944494 11.413376659636 2.55341349237587e-26 3.26804851997776e-23 48.9918432220406
ENSG00000186185 4.64226839121414 4.39245029203447 11.4094322530285 2.64234194694192e-26 3.26804851997776e-23 48.9601913015869
ENSG00000158402 3.63703863572549 2.72368486218646 11.3211179045249 5.67815951349859e-26 5.85228973857921e-23 48.1428492220701
ENSG00000197561 -4.89698438680555 -4.74021928050097 -11.3738516982805 3.59740675919227e-26 4.17119313728344e-23 47.8091440453446
ENSG00000166091 -4.81309251838271 -4.91818180073354 -11.3212909939604 5.66966927007788e-26 5.85228973857921e-23 47.2526172085906
ENSG00000112742 3.80039982202694 4.14668989132239 11.136806377659 2.77556570235851e-25 2.71012078474501e-22 46.6604587974569
ENSG00000165480 3.44370184201573 3.66620896111448 11.0983932203033 3.85702405197075e-25 3.57777551060807e-22 46.3274348681995
ENSG00000077943 -3.64025546006724 2.59504886318702 -11.0825586948769 4.41656338915901e-25 3.90171828550848e-22 46.2055635046847
ENSG00000172348 -3.41589359363548 3.10955716205598 -11.0271565087638 7.0890155215448e-25 5.71806156329127e-22 45.7384818192643
ENSG00000118526 -4.50366424827275 1.16481291349374 -11.0333620522736 6.72348494886231e-25 5.66973148960425e-22 45.7071230898847
ENSG00000117650 4.03252009438002 4.13683570117788 10.99013052896 9.71912413535568e-25 7.21236763836474e-22 45.4250240403433
ENSG00000068976 -4.76455243974028 -0.116482551942172 -11.0215157348749 7.43839309705008e-25 5.74987786401971e-22 45.385779383463
ENSG00000168309 -4.91208259728435 1.37934444218331 -10.965100461766 1.20263191122188e-24 8.58124123730322e-22 45.1350292513052
ENSG00000144655 -2.71718165601396 5.30191883694592 -10.9388831171573 1.50282330074882e-24 1.02461701132242e-21 44.8688362211747
ENSG00000137812 3.19156055451626 4.61220651440771 10.9145097807881 1.84827830693323e-24 1.14297530500751e-21 44.7868603171232
ENSG00000075218 3.47536883177131 3.96827108794851 10.9093570332557 1.93086089712681e-24 1.15552681817731e-21 44.7540520755534
ENSG00000197472 4.02907548326341 0.613639176304035 10.9355157804205 1.54642498474708e-24 1.02461701132242e-21 44.7233694136149
ENSG00000196584 2.99657948979803 2.863829955696 10.8814244139557 2.44668140390458e-24 1.41846354391368e-21 44.4886833697723
