,logFC,t,P.Value,adj.P.Val,B,direction
ENSG00000065135,1.8991438123615,14.6220021942068,1.13240808595476e-30,2.10061699944607e-26,59.1431462532901,up
ENSG00000140988,2.68736969836116,14.4886813082768,2.54252475987007e-30,2.35819171477949e-26,58.3400022150149,up
ENSG00000107864,-3.65476318833221,-13.2894600414206,3.86712224330409e-27,1.81294513708477e-23,50.9757403392915,down
ENSG00000089157,3.08240849723764,13.2214498647196,5.87276171482546e-27,1.8156621635002e-23,50.6777254224778,up
ENSG00000026025,3.68883727544489,13.151123688981,9.04817637327539e-27,2.39776673891798e-23,50.2498213834354,up
ENSG00000155744,-2.00925655994628,-13.0445541020571,1.74251689322767e-26,3.26501633372171e-23,49.602580550418,down
ENSG00000113319,-3.94014291915575,-12.98909414434,2.45111057235654e-26,4.13346373792853e-23,49.1988140797322,down
ENSG00000110975,-6.13086550562487,-13.2876932460213,3.90931565948198e-27,1.81294513708477e-23,48.6928494420708,down
ENSG00000196604,5.85853496726653,13.2269074820555,5.67908212719558e-27,1.8156621635002e-23,48.0566055850049,up
ENSG00000117362,1.66041157535201,12.7747565833719,9.17173181940235e-26,1.30873557884549e-22,47.9487845754744,up
ENSG00000172375,-1.96757297784749,-12.7515526844323,1.05809927824571e-25,1.40198154367556e-22,47.819063330703,down
ENSG00000265313,-6.65790208165469,-13.11165203555,1.15333958286101e-26,2.67430615775896e-23,47.5869401106814,down
ENSG00000187243,6.42770357255807,13.0429204236649,1.7601166219524e-26,3.26501633372171e-23,47.3744858098587,up
ENSG00000065978,2.64154620822755,12.6524297718959,1.9487809837779e-25,2.409992483272e-22,47.2091491821926,up
ENSG00000196189,-3.33243170273518,-12.6129777377428,2.48517129228845e-25,2.88124546699693e-22,46.9658388555199,down
ENSG00000113140,3.2790965038834,12.5681049125577,3.276986481674e-25,3.3771166241696e-22,46.7035019881062,up
ENSG00000156097,-4.64315018166117,-12.5821495413458,3.0052274342666e-25,3.27923346503797e-22,46.1863435380888,down
ENSG00000108518,2.12903776248583,12.4543016839892,6.60964851805218e-25,5.83852285761276e-22,45.9982994382908,up
ENSG00000204628,2.22751244919884,12.4424215659375,7.11200220133341e-25,5.99671094703339e-22,45.9318988024743,up
