logFC AveExpr t P.Value adj.P.Val B
ENSG00000065135 1.89900702235618 6.99259809044957 14.6757608271308 8.3808829232108e-31 1.37756490747313e-26 59.4313777359078
ENSG00000140988 2.68723436389038 9.47563839111685 14.5706592480357 1.58413627814297e-30 1.37756490747313e-26 58.7922305074246
ENSG00000089157 3.08227362926889 10.5020960768779 13.2865403332 4.01494708782254e-27 1.74569899378524e-23 51.0452067968958
ENSG00000107864 -3.65489986983684 2.35465708878732 -13.3038723418916 3.6097471082903e-27 1.74569899378524e-23 50.9766002391734
ENSG00000026025 3.68870051601646 11.317011090467 13.2242239473786 5.88634769532434e-27 2.04750718234162e-23 50.6625254617195
ENSG00000155744 -2.00939405831461 4.33211655602438 -13.0651503946277 1.56428796539634e-26 4.53434938236219e-23 49.705629546966
ENSG00000113319 -3.94027961575659 2.85666658629517 -12.9921419609386 2.45056441280861e-26 6.08860232393819e-23 49.1498637517423
ENSG00000117362 1.66027589565281 7.78962188821511 12.8328879403915 6.52785034082476e-26 1.4191546640953e-22 48.2957805611682
ENSG00000172375 -1.96770928061347 4.31888158297568 -12.7696942930922 9.63170082221696e-26 1.86127267444441e-22 47.9123737823275
ENSG00000065978 2.64141066350132 9.02984480316331 12.7122458077953 1.37188041519515e-25 2.3859744181074e-22 47.5637796840273
ENSG00000196189 -3.33256796939655 2.84655827174309 -12.6536269817546 1.96831185471553e-25 3.11207997974658e-22 47.1750298305652
ENSG00000113140 3.27896076514514 11.7246247704883 12.6197090297651 2.42562311345902e-25 3.51553643243994e-22 46.9913167356319
ENSG00000108518 2.12890203483791 8.71986272873678 12.5077979529906 4.8333773457137e-25 5.88292995276908e-22 46.3186151022258
ENSG00000204628 2.22737680296803 9.63982629930512 12.4999188830627 5.07382413129808e-25 5.88292995276908e-22 46.2721847545058
ENSG00000177570 -4.50219415246629 1.36739617440592 -12.4703127161269 6.08928768563768e-25 6.61905571428815e-22 45.769387305694
ENSG00000156097 -4.64327838277511 -0.483121845203447 -12.5303717929782 4.20576167977886e-25 5.62666208728569e-22 45.6137425319135
