logFC AveExpr t P.Value adj.P.Val B
ENSG00000117650 4.90763402948113 3.78306808313891 35.4102766185314 1.18500595065906e-187 2.19854154025775e-183 418.635587179935
ENSG00000203805 6.17884081158464 1.78629120421526 32.9919216665281 1.29530201872832e-169 1.20158691767333e-165 376.985459556577
ENSG00000123500 7.75662202966137 6.1189538483499 32.7112604788448 1.60106574405751e-167 9.90152424983297e-164 372.407928810999
ENSG00000025423 3.49046503485631 1.94161507490481 32.3495697393911 7.92845086972615e-165 3.67741372465073e-161 365.971456163063
ENSG00000166803 3.69930740928649 3.48644015911094 31.7605714335345 1.92159465001148e-160 7.13026910833261e-157 356.132563860202
ENSG00000127564 3.86939906842457 4.02478143688295 31.5798356607229 4.2451264060923e-159 1.31266383687051e-155 353.050509776061
ENSG00000090889 4.18981202410454 4.04428764189847 31.4715992271464 2.7077386125801e-158 7.17666778274266e-155 351.201423126715
ENSG00000276043 3.69502680151585 3.78448765902138 31.246380373482 1.27732349438939e-156 2.96227284892581e-153 347.354630011479
ENSG00000169607 3.78555337846307 2.74750187770484 30.9302071993263 2.84462787375659e-154 5.86404232686734e-151 341.925854724804
ENSG00000099953 5.78541223743185 7.50471842724352 30.577658649949 1.17209130971662e-151 2.17458100691725e-148 335.938820252234
ENSG00000104415 4.11270871837186 3.6049182147254 30.2782803890353 1.93579936129081e-149 3.26498959545712e-146 330.852687675855
ENSG00000213186 2.37048800655192 3.3333060806817 29.9737159208538 3.47071296890391e-147 5.36601147600618e-144 325.666046320594
ENSG00000168078 3.86142971799264 2.9615540018425 29.7059570468726 3.30478656430469e-145 4.716438855965e-142 321.130325913158
ENSG00000158402 3.9643054569605 1.94528703668567 29.5717788028201 3.23427611266666e-144 4.28610890845033e-141 318.717659933684
ENSG00000152253 3.24939441880919 2.79328712018503 29.4380981664909 3.13390281661359e-143 3.87621993044213e-140 316.563215047708
ENSG00000086717 3.85912506444641 0.755004379341487 29.2084922518349 1.54368173863116e-141 1.78999545605149e-138 312.487971643942
ENSG00000243742 3.0503789226104 1.61995911229637 29.1547848992076 3.83837243685267e-141 4.18901904828985e-138 311.682785526814
ENSG00000135127 2.9861992752631 4.07770252221799 29.0871085646164 1.20909737587039e-140 1.24624353414019e-137 310.634301854608
ENSG00000183856 3.86354427245606 4.62749314861805 29.0475331387785 2.36470075627661e-140 2.30906805953684e-137 309.960677294708
ENSG00000171320 3.25334032217307 2.19271325308306 28.886577796005 3.61323185932161e-139 3.35181453429969e-136 307.215716776668
ENSG00000109674 4.06048579950696 0.913702104175931 28.8353496176684 8.60084547615792e-139 7.59864219615037e-136 306.151851192469
ENSG00000072571 3.5216563019129 3.70147923660745 28.7853200986195 2.00568916557224e-138 1.69143414040281e-135 305.550758898449
ENSG00000143476 3.3116379637805 4.1667713025612 28.7213043825632 5.92414692008437e-138 4.77872599166632e-135 304.464014583881
ENSG00000137804 3.25320013784517 4.81090026652369 28.6290003577323 2.82174306282172e-137 2.18132496018881e-134 302.887623316895
ENSG00000029559 6.59112974803354 -0.599092966974079 28.5717431501703 7.42723407013179e-137 5.51189894812621e-134 301.583863017115
ENSG00000186185 3.9663348451534 2.64663391221349 28.4685256958418 4.24752755791172e-136 3.03093764545908e-133 300.197327293264
ENSG00000079462 2.5431912770906 5.61348297854579 28.3950113778331 1.46962900371101e-135 1.00985284836483e-132 298.920371446619
ENSG00000122641 3.72233866222765 5.98722707963954 28.3090959041204 6.26452112817198e-135 4.15091644610624e-132 297.476532162805
ENSG00000123485 3.69531004177653 3.17723154129501 28.2249976131368 2.58762924605422e-134 1.65545811731186e-131 296.108682587661
ENSG00000137812 3.19597256823278 3.69373319476046 28.1570594592291 8.13371494496983e-134 5.03016044580084e-131 294.966472609973
ENSG00000105011 3.04898670966078 4.26330960455612 28.1499807892115 9.16431131137781e-134 5.48469250838686e-131 294.83086392488
ENSG00000126787 3.7550655492341 3.3156575106033 27.9485109997266 2.72675922248116e-132 1.58092387045915e-129 291.462235575543
ENSG00000066279 4.03533777478041 4.59205603947365 27.7600593360275 6.48719935816691e-131 3.64718211188093e-128 288.282754045908
ENSG00000137745 7.43801411923719 3.05413077322381 27.7335669294139 1.01250925385692e-130 5.52502476082573e-128 287.857294511317
ENSG00000169679 3.58810634089792 4.45855999088354 27.7293966832956 1.08600043124014e-130 5.75673314308522e-128 287.765165328981
ENSG00000035499 3.31457920684593 1.84359550983261 27.7205674515535 1.25966559723531e-130 6.49182661819631e-128 287.610497630012
ENSG00000143228 3.93679710191292 3.71478976286472 27.6065304285127 8.5501973114834e-130 4.28734623567436e-127 285.724502048005
ENSG00000119927 -3.39924167889086 4.74878018365817 -27.5122621059497 4.15878618302824e-129 2.03047263299271e-126 284.149634209257
ENSG00000077152 3.23205607209863 3.80083544552035 27.4982287244209 5.262514167936e-129 2.50347244506966e-126 283.90528488769
ENSG00000168477 -4.2621700508866 3.72751916697151 -27.4954080594288 5.51745956844229e-129 2.55913568433275e-126 283.869032646587
ENSG00000156970 3.24744772052293 3.56210507450142 27.4539162749196 1.10640712133384e-128 5.00662715173336e-126 283.175469184828
ENSG00000112984 3.65304366944778 4.14172463496717 27.2933467553441 1.63067356400401e-127 7.20330634118248e-125 280.473394758434
ENSG00000167779 -3.62427127163995 3.70469145539436 -27.1998715304902 7.79609844326476e-127 3.36374452134631e-124 278.906567284928
ENSG00000170145 -2.1432799301025 5.57144277392634 -27.1575318527196 1.58302950125707e-126 6.67498780382328e-124 278.164508030899
ENSG00000075702 2.72203269411303 3.27132611784491 27.1315999166108 2.44252637638324e-126 1.00702648580085e-123 277.787421087866
ENSG00000129810 3.5773194405022 2.30870725430876 27.1281003935034 2.58972736731075e-126 1.04450460534166e-123 277.719071167937
ENSG00000148180 -2.44226226480795 8.91841407546571 -27.1215626186896 2.88889455268177e-126 1.14037575821074e-123 277.563888693026
ENSG00000169258 2.85598464662998 2.73854688752727 27.1108251352351 3.45702201381192e-126 1.33621102963026e-123 277.44716881205
ENSG00000105974 -3.13819602349486 6.24842539839445 -27.0294062758853 1.3480180897761e-125 5.10403665706449e-123 276.028762458943
ENSG00000138180 3.71051353987906 3.66137077486396 26.9848386405877 2.83807333476256e-125 1.053095491597e-122 275.345266936867
ENSG00000135451 3.48699425034346 3.13679219659398 26.9810192718783 3.02500757536579e-125 1.10045030481885e-122 275.283009957126
ENSG00000165810 -4.27252947339523 2.50415059838778 -26.9333258290819 6.70782642986707e-125 2.3932750721793e-122 274.457840642223
ENSG00000171848 3.68866421393362 5.03008370830772 26.8683004049359 1.98559214622709e-124 6.95069643187758e-122 273.353970717199
ENSG00000137807 2.77806563319812 4.17984134289189 26.7205774886856 2.33122084573177e-123 8.00947043534471e-121 270.914099244122
ENSG00000187730 3.27135543421339 1.74876987057869 26.6652162059812 5.86271668678901e-123 1.97765423072721e-120 269.971462871577
ENSG00000165304 3.82900353696117 3.36944572708664 26.6473447844095 7.89492069168457e-123 2.61561542130043e-120 269.732412114911
ENSG00000118193 3.95596513142469 3.15632762218916 26.6286725876255 1.07737094829571e-122 3.506747930479e-120 269.425035456307
ENSG00000117724 3.37137290681055 6.05948637421738 26.5908998756252 2.02034779542033e-122 6.46267459455748e-120 268.723619166501
ENSG00000149090 -3.82988755259151 2.49450034451615 -26.5702489212824 2.84886884935904e-122 8.95848538341666e-120 268.385882279101
ENSG00000186642 -3.08242477919387 3.10602453524724 -26.5156672173395 7.06318654259386e-122 2.18405499874573e-119 267.538944246537
