,logFC,t,P.Value,adj.P.Val,B,direction
ENSG00000117650,4.90763402948113,35.4102766185315,1.18500595065528e-187,2.19854154025074e-183,418.635587179939,up
ENSG00000203805,6.17884081158463,32.9919216665275,1.29530201874129e-169,1.20158691768536e-165,376.985459556567,up
ENSG00000123500,7.75662202966137,32.711260478845,1.60106574405304e-167,9.90152424980536e-164,372.407928811002,up
ENSG00000025423,3.49046503485631,32.3495697393908,7.92845086976765e-165,3.67741372466998e-161,365.971456163058,up
ENSG00000166803,3.6993074092865,31.7605714335344,1.9215946500175e-160,7.13026910835493e-157,356.132563860199,up
ENSG00000127564,3.86939906842457,31.579835660723,4.24512640608408e-159,1.31266383686797e-155,353.050509776063,up
ENSG00000090889,4.18981202410455,31.4715992271467,2.70773861256623e-158,7.17666778270591e-155,351.201423126721,up
ENSG00000276043,3.69502680151585,31.2463803734823,1.27732349438314e-156,2.96227284891131e-153,347.354630011484,up
ENSG00000169607,3.78555337846307,30.9302071993273,2.84462787370868e-154,5.86404232676857e-151,341.925854724821,up
ENSG00000099953,5.78541223743185,30.5776586499491,1.17209130971402e-151,2.17458100691242e-148,335.938820252236,up
ENSG00000104415,4.11270871837185,30.2782803890351,1.93579936130039e-149,3.26498959547329e-146,330.85268767585,up
ENSG00000213186,2.37048800655193,29.9737159208538,3.47071296890391e-147,5.36601147600618e-144,325.666046320594,up
ENSG00000168078,3.86142971799262,29.7059570468725,3.30478656431222e-145,4.71643885597574e-142,321.130325913156,up
ENSG00000158402,3.96430545696049,29.5717788028197,3.23427611268746e-144,4.28610890847789e-141,318.717659933677,up
ENSG00000152253,3.2493944188092,29.4380981664915,3.13390281658416e-143,3.87621993040573e-140,316.563215047718,up
ENSG00000086717,3.85912506444641,29.2084922518348,1.54368173863406e-141,1.78999545605485e-138,312.48797164394,up
ENSG00000243742,3.0503789226104,29.1547848992077,3.83837243684546e-141,4.18901904828199e-138,311.682785526816,up
ENSG00000135127,2.98619927526311,29.0871085646161,1.20909737587638e-140,1.24624353414636e-137,310.634301854603,up
ENSG00000183856,3.86354427245605,29.0475331387784,2.36470075628065e-140,2.30906805954078e-137,309.960677294706,up
ENSG00000171320,3.25334032217307,28.8865777960055,3.61323185928644e-139,3.35181453426707e-136,307.215716776678,up
ENSG00000109674,4.06048579950696,28.8353496176688,8.60084547610456e-139,7.59864219610323e-136,306.151851192475,up
ENSG00000072571,3.52165630191291,28.7853200986196,2.0056891655703e-138,1.69143414040117e-135,305.55075889845,up
ENSG00000143476,3.3116379637805,28.721304382563,5.92414692010157e-138,4.77872599168019e-135,304.464014583878,up
ENSG00000137804,3.25320013784516,28.6290003577323,2.82174306282028e-137,2.18132496018769e-134,302.887623316895,up
ENSG00000029559,6.59112974803354,28.5717431501699,7.42723407019309e-137,5.51189894817169e-134,301.583863017107,up
ENSG00000186185,3.9663348451534,28.4685256958422,4.24752755788078e-136,3.030937645437e-133,300.197327293271,up
ENSG00000079462,2.54319127709058,28.3950113778327,1.46962900371988e-135,1.00985284837092e-132,298.920371446613,up
ENSG00000122641,3.72233866222766,28.3090959041203,6.26452112818232e-135,4.15091644611309e-132,297.476532162803,up
ENSG00000123485,3.69531004177653,28.2249976131369,2.58762924604626e-134,1.65545811730677e-131,296.108682587664,up
ENSG00000137812,3.19597256823278,28.1570594592291,8.13371494497585e-134,5.03016044580456e-131,294.966472609972,up
ENSG00000105011,3.04898670966078,28.1499807892114,9.16431131139189e-134,5.48469250839528e-131,294.830863924878,up
ENSG00000126787,3.7550655492341,27.9485109997272,2.72675922245182e-132,1.58092387044215e-129,291.462235575554,up
ENSG00000066279,4.03533777478041,27.7600593360276,6.48719935815177e-131,3.64718211187242e-128,288.282754045911,up
ENSG00000137745,7.43801411923719,27.7335669294132,1.01250925386966e-130,5.52502476089522e-128,287.857294511305,up
ENSG00000169679,3.58810634089791,27.7293966832957,1.08600043123736e-130,5.75673314307048e-128,287.765165328983,up
ENSG00000035499,3.31457920684593,27.7205674515539,1.25966559722592e-130,6.49182661814791e-128,287.610497630019,up
