logFC AveExpr t P.Value adj.P.Val B
ENSG00000198889 -6.71251609701535 -6.45631855412187 -13.3413398856615 1.2877705833456e-27 2.38920076328108e-23 49.6850604851506
ENSG00000163394 -9.57087031925336 -5.48853899073275 -13.0322404215719 8.99428354271125e-27 8.34354712839609e-23 48.410437520504
ENSG00000110148 -10.0092494632544 -4.08390413102724 -12.6151695378319 1.24306288558824e-25 5.76563642907964e-22 46.8114234804483
ENSG00000165192 -7.97780865355361 -4.77887740978058 -12.6668380243953 8.97711087733866e-26 5.55174460357547e-22 46.7726854184301
ENSG00000162999 -2.92890403626615 2.49312638827569 -12.4222319703979 4.19198083720655e-25 1.29623034121155e-21 46.4335621561404
ENSG00000153446 -7.01793032701019 -1.1018926272051 -12.4571265718575 3.36459350997765e-25 1.2484660678123e-21 46.3661806221273
ENSG00000146755 -8.03697365652107 -3.37349392085 -12.2071585017182 1.62536361482198e-24 4.30791016368459e-21 44.4998369160256
ENSG00000164850 -4.68437600280871 1.77885021332932 -11.3313249500751 4.01997251447947e-22 8.28695000679308e-19 39.6587285376334
ENSG00000119715 -5.47800744640721 -1.77810732716889 -11.3657141752317 3.23933037354477e-22 7.51241205254701e-19 39.5032344408261
ENSG00000163328 -4.34161936978523 4.03606329309221 -10.9843185811308 3.53905078558061e-21 5.47166743540641e-18 37.512577161656
ENSG00000213373 -5.81581948871321 -4.28542841128078 -11.0933362506011 1.78824641034042e-21 3.31773356510458e-18 37.4022887073321
ENSG00000152578 -5.74081439174957 -2.22338063574663 -10.9891657344726 3.43330607993301e-21 5.47166743540641e-18 37.2902293799689
ENSG00000117758 -1.69838309115894 5.51393784462537 -10.6488155276007 2.87735049852864e-20 4.10642183070783e-17 35.3472811671224
ENSG00000157017 -6.42943882263073 -0.301191836090587 -10.6317383397016 3.20048036660334e-20 4.24132230297085e-17 35.3222005473323
ENSG00000161640 -6.13510369680659 -2.20725724696392 -10.5440697926989 5.5250039529983e-20 6.40658739624859e-17 34.556077496328
ENSG00000235049 -5.6614365850682 -5.72541752786349 -10.5585104882431 5.05004335867505e-20 6.24623029556654e-17 33.8966063887723
ENSG00000131730 -3.94359626962343 -0.0112083645746913 -10.371014194271 1.61991859983304e-19 1.76790292839426e-16 33.7172692299746
ENSG00000177133 -6.03439885386843 0.0189647735841776 -10.291782206583 2.64818548954872e-19 2.7295436326443e-16 33.2945083625701
ENSG00000088325 3.00467119122268 6.80612874339191 10.2268979056421 3.95854540724389e-19 3.69252950692706e-16 32.82430266036
ENSG00000159197 -8.50106715339644 -2.41930435767802 -10.2260038852038 3.98052013898244e-19 3.69252950692706e-16 32.7775840478224
ENSG00000110436 -5.04856690092034 -0.173409256015492 -10.1221283162986 7.56860768311208e-19 6.68668468308469e-16 32.220846631555
ENSG00000171885 -9.40081532041188 -4.18476354604917 -9.97654391942812 1.85874785019371e-18 1.49936299411495e-15 30.8882252293608
ENSG00000175356 -4.14376736578404 1.40437270945759 -9.88741718526734 3.21762333887824e-18 2.487356908592e-15 30.8457883932136
ENSG00000169340 -8.65762618892861 -5.86514684499431 -9.98632421425733 1.75001661306304e-18 1.47582082827993e-15 30.6701356258843
ENSG00000163884 -5.04487244879193 0.846949538989483 -9.77406531995597 6.45598887141512e-18 4.60684467428326e-15 30.1628134125775
ENSG00000175161 -7.18845713398661 -2.05841400909053 -9.78828796885673 5.91640838214671e-18 4.39068498855872e-15 30.0820943591406
ENSG00000157315 -3.83540117586738 -0.266618510596948 -9.75259621387064 7.3647246920939e-18 5.06065693379326e-15 29.9998807741869
ENSG00000050628 -5.03770057479581 1.55915208374699 -9.72498698671532 8.72299955267324e-18 5.57196122413329e-15 29.8672433171831
ENSG00000148288 -3.36817713325535 1.71688395998658 -9.69570922538287 1.0436760599039e-17 6.13938575634381e-15 29.6927857267057
ENSG00000256713 -13.7456034476129 -4.35821615618605 -9.74012074524215 7.95020247815281e-18 5.26786094918461e-15 29.5978368468896
