,logFC,t,P.Value,adj.P.Val,B,direction
ENSG00000167014,-6.15270242076939,-18.7321183714911,4.6651481628111e-21,8.65291681238203e-17,33.4196634723161,down
ENSG00000105607,-2.96301258764785,-15.5967819344033,2.54254761604715e-18,1.57197243941475e-14,31.6188928915618,down
ENSG00000230921,-5.3861803885207,-17.0393780036643,1.25340588845358e-19,1.16240862095185e-15,30.8771689039955,down
ENSG00000023330,-3.29070361327464,-14.7755623669824,1.54771600541861e-17,6.41733312485975e-14,29.8725851846883,down
ENSG00000155666,-4.08777941515366,-14.7259922753855,1.72992590167666e-17,6.41733312485975e-14,29.5412000548802,down
ENSG00000080709,-5.41483911113492,-14.5256460733239,2.71994582160482e-17,8.4082591831877e-14,28.5445440237342,down
ENSG00000115841,-2.45174630996891,-14.0520234425465,8.06808135988472e-17,1.68559140291055e-13,28.1220668949818,down
ENSG00000213398,-4.60487251200618,-14.0461465739619,8.17895332445273e-17,1.68559140291055e-13,28.116976474716,down
ENSG00000118777,-4.45381964738453,-13.9838420097393,9.45458668164214e-17,1.75363673771098e-13,27.838775115758,down
ENSG00000133027,-3.28132059705264,-13.7949372924562,1.47114479230429e-16,2.38399111667637e-13,27.6247559441976,down
ENSG00000120158,-3.31410706451802,-13.7748385038832,1.5423707893097e-16,2.38399111667637e-13,27.5417808353909,down
ENSG00000160323,-3.2371530618113,-13.5602727375297,2.56241925597244e-16,3.16851682398512e-13,26.9965288431626,down
ENSG00000109929,-3.48391185821492,-13.3753565592447,3.98571371560138e-16,4.62043862481089e-13,26.6513609795691,down
ENSG00000266964,-7.05017439855482,-13.7086929001327,1.80262966878004e-16,2.5719365458871e-13,26.4684729702169,down
ENSG00000227555,-4.58776477657573,-14.3722694557426,3.85745121351208e-17,1.02211435868889e-13,26.4009504342486,down
ENSG00000198948,-4.58936091178906,-13.3275799785872,4.47051899078532e-16,4.76898253095302e-13,26.3983021579043,down
ENSG00000052802,-2.95562718340821,-13.1041807482711,7.67383963380266e-16,7.49128302777746e-13,25.997082752521,down
ENSG00000119673,-3.12368203962075,-13.0530164695514,8.69194313508362e-16,8.06090806347655e-13,25.8772735283318,down
ENSG00000060971,-3.34100926235782,-12.9914459039209,1.01019517970602e-15,8.92242866342255e-13,25.7253084040908,down
ENSG00000163702,-2.43378849180875,-12.7693910740163,1.74386202558422e-15,1.4484110730089e-12,25.1925264942082,down
ENSG00000229792,-4.73167803416634,-13.6633147499979,2.00673215414963e-16,2.65863342822623e-13,25.0871371312786,down
ENSG00000171723,-2.57093025024218,-12.6143746998441,2.56196756721154e-15,1.77218316447734e-12,24.8164785674299,down
ENSG00000196177,-4.24572354554561,-12.5878024168458,2.73740109578484e-15,1.81307640224196e-12,24.7478360298484,down
ENSG00000134532,-4.67464621217941,-12.7003465331698,2.0690199100326e-15,1.53504725165139e-12,24.7257989429996,down
ENSG00000121691,-3.17170141593547,-12.5687182778999,2.87091541571778e-15,1.81307640224196e-12,24.6901751201078,down
ENSG00000238099,-6.66627931513638,-13.3131848827789,4.6280831117724e-16,4.76898253095302e-13,24.6880623748245,down
