logFC AveExpr t P.Value adj.P.Val B
ENSG00000179796 -6.08905069191549 -5.0096234776385 -16.7910723855716 1.87823299700496e-48 3.4844978560436e-44 97.7056458811711
ENSG00000153823 -3.45374344749739 1.802810631635 -16.238213393313 4.53203823354285e-46 4.20391866543435e-42 93.9879213255116
ENSG00000163815 -5.26988381452515 1.06874155949143 -15.8330316226 2.46604000274509e-44 1.52499913769756e-40 89.1046319691857
ENSG00000082175 -3.52846085262296 -0.602051831659502 -15.3612730163844 2.5118173256419e-42 1.16498087563271e-38 85.3375176215496
ENSG00000115507 5.09471160701133 1.49712230528306 14.9772580448261 1.05416369218946e-40 3.91136896349978e-37 81.1348904565138
ENSG00000186185 4.63276015700514 4.39245029203447 14.8648415443561 3.13221391715231e-40 9.68480543183493e-37 80.5968269324848
ENSG00000117650 3.99866583734471 4.13683570117788 14.818956032221 4.88203959924318e-40 1.29387998064513e-36 80.1991748923056
ENSG00000112984 3.83967264253984 4.95695936111705 14.1993078880676 1.87821835111471e-37 3.87163409443113e-34 74.3337769309773
ENSG00000158402 3.64690880445218 2.72368486218646 14.2112044149857 1.67665337061375e-37 3.87163409443113e-34 74.2391732865697
ENSG00000118193 3.59787352052904 4.03614631167616 14.1737759188522 2.39614175871928e-37 4.445322190776e-34 74.0872468509848
ENSG00000112742 3.7542247767216 4.14668989132239 14.1275617096522 3.72216440025998e-37 6.27759945032937e-34 73.6326994267635
ENSG00000165480 3.48634194926157 3.66620896111448 14.0203443041351 1.03221541020871e-36 1.59580502418266e-33 72.5770669144751
ENSG00000115163 4.0966305506513 3.08785910031012 13.9905510400385 1.36981100779135e-36 1.95482567819578e-33 72.2439824801545
ENSG00000170312 3.40479404361451 6.24599536835962 13.9672594075808 1.70872128737566e-36 2.2642998088138e-33 72.1436866697893
ENSG00000137812 3.11780359833837 4.61220651440771 13.8546071362155 4.96887530257021e-36 6.14550497421884e-33 71.0916769874609
ENSG00000156970 3.45185307760846 4.34372434577815 13.8477721405074 5.30082619944257e-36 6.14630797825366e-33 71.0207988032599
ENSG00000162062 3.40184140613856 3.15047697058487 13.8394347082846 5.73582762910978e-36 6.25947495148498e-33 70.8001968384058
