,logFC,t,P.Value,adj.P.Val,B,direction
ENSG00000059915,-5.25804149876336,-15.8487593856137,8.76981541160504e-41,1.62697615516097e-36,81.5976283463301,down
ENSG00000224958,-10.7338044991183,-14.464731608832,9.10072084521735e-36,8.44182865602361e-32,66.1623018323036,down
ENSG00000204071,-8.54858984834009,-13.5535782075972,1.69505621966016e-32,1.04822276623785e-28,58.0199015923721,down
ENSG00000154330,-7.46213451121885,-12.9145792193182,3.14718600420521e-30,1.45966486875038e-26,57.8185517206524,down
ENSG00000180440,-9.40590191801597,-12.3619089306892,2.74611708937724e-28,1.01891928484253e-24,53.3186801721586,down
ENSG00000173641,-7.04403122688133,-11.6217455551946,9.98488437538415e-26,2.64627964188753e-22,47.2350672902801,down
ENSG00000106772,-5.92339402661103,-11.5393343076939,1.91123756453735e-25,4.43215991216211e-22,47.0217382998932,down
ENSG00000119973,-7.91792187327421,-12.0808254782594,2.61093085851652e-27,8.07299821453307e-24,47.0043389461234,down
ENSG00000104738,4.04691257599085,11.3270941240871,1.00999026543869e-24,2.08192660049095e-21,45.4299183939554,up
ENSG00000186642,-5.43605669770703,-11.2276893588141,2.19437050000831e-24,4.07099615161541e-21,44.5755325708981,down
ENSG00000163792,-10.3554141459859,-10.9298663553829,2.20997136081876e-23,3.72721715326451e-20,41.1293281087525,down
ENSG00000088325,6.1172724462834,10.6821449173634,1.48179307259665e-22,2.29085209023442e-19,40.3254261265173,up
ENSG00000170312,4.72991620193012,10.6233593030023,2.32159119480926e-22,3.07643998900724e-19,40.0269592761146,up
ENSG00000130176,-7.55773080027863,-10.5741304383265,3.37867021252594e-22,4.17873931885208e-19,39.6895369367737,down
ENSG00000121440,-5.06464389289966,-10.5509204407897,4.03152177247752e-22,4.67454949518769e-19,39.5538050445296,down
ENSG00000131747,6.01434874952127,10.3873772211462,1.3934281023314e-21,1.52063989143836e-18,38.2282904697711,up
ENSG00000175084,-8.94482553803253,-10.3570721526603,1.75186866755662e-21,1.80559264002836e-18,38.1117531195273,down
ENSG00000258537,-9.13547203283009,-10.6497132197883,1.89854494001458e-22,2.70936967131927e-19,37.6417115497222,down
ENSG00000111058,-4.87761103699909,-10.2576837141518,3.70402337802073e-21,3.61668640573898e-18,37.3725432173079,down
ENSG00000156113,-5.29239564369038,-10.2253937963211,4.72090486847492e-21,4.1818172704043e-18,37.1375359423278,down
ENSG00000129810,6.17769074434703,10.2250354479532,4.73362239534769e-21,4.1818172704043e-18,36.4624612398852,up
ENSG00000198523,-7.4175811999327,-9.90892728808561,4.99694286134319e-20,3.56551092167842e-17,34.6811316359942,down
ENSG00000117650,6.95339755766368,9.94635173300061,3.78694041814783e-20,2.95962453559808e-17,34.5864587326838,up
ENSG00000165995,-5.11195311619877,-10.0020340865653,2.5046269742278e-20,2.11208361935792e-17,34.5126222070747,down
ENSG00000126787,7.42789482889719,9.93936459751072,3.98828230864338e-20,2.95962453559808e-17,34.510271251541,up
ENSG00000094804,5.72716776527137,9.89040800367574,5.73078773547367e-20,3.79705621673241e-17,34.4094896758849,up
ENSG00000116194,-7.36523995443005,-9.86046910385027,7.15008643533716e-20,4.57408288097845e-17,34.2550061042083,down
ENSG00000186185,7.06236643550316,9.89976449684522,5.34754617709768e-20,3.67435839546356e-17,34.2273030909661,up
ENSG00000197245,-4.92657268809964,-9.94063046430371,3.9510320007505e-20,2.95962453559808e-17,34.0264884600946,down
ENSG00000117399,6.44424161676517,9.82917917880643,9.00741629527951e-20,5.39050281000082e-17,34.0073690020439,up
ENSG00000174371,6.35271076433323,9.85407355025298,7.49587004569594e-20,4.63544603625837e-17,33.8884821477842,up
ENSG00000153446,-6.42749904139361,-9.77786095617302,1.31449995442528e-19,7.62081348578055e-17,33.8488956981675,down
ENSG00000117724,5.23525895348562,9.75456873788327,1.56004179864453e-19,8.77027134801615e-17,33.6425453352233,up
ENSG00000142945,5.36002216065989,9.7369465833938,1.77562360728431e-19,9.68863798892309e-17,33.4480854824486,up
ENSG00000109805,6.23650943237532,9.70514359499933,2.24223243820906e-19,1.1885113198187e-16,33.0243669249634,up
ENSG00000135451,6.40990378991625,9.66816467717007,2.93970283298339e-19,1.51492685993077e-16,32.6866481333235,up
ENSG00000104413,6.12115518705532,9.61381215019401,4.37318604374266e-19,2.19273912117605e-16,32.527803091879,up
ENSG00000150764,-4.21518690905913,-9.56657943274689,6.17043686320436e-19,2.79527549755688e-16,32.3511971879292,down
ENSG00000171848,6.66937464760052,9.57492591598041,5.80658198128882e-19,2.76214638248385e-16,32.2697664045343,up
ENSG00000161800,3.88008403037129,9.55350928295334,6.7862080650998e-19,2.92785423311004e-16,32.2532358030568,up
ENSG00000169679,5.49786847835086,9.56311043244904,6.32824336445607e-19,2.79527549755688e-16,32.1727581504608,up
ENSG00000065328,6.55483523904614,9.59774469923885,4.91700183568467e-19,2.40053205409532e-16,32.0915193874734,up
