logFC AveExpr t P.Value adj.P.Val B
ENSG00000059915 -5.25804149876337 2.03296881408516 -15.8487593856137 8.76981541160654e-41 1.62697615516125e-36 81.5976283463299
ENSG00000224958 -10.7338044991183 -5.91445106689947 -14.464731608832 9.1007208452193e-36 8.44182865602542e-32 66.1623018323034
ENSG00000204071 -8.54858984834008 -6.15909104405172 -13.5535782075973 1.69505621965963e-32 1.04822276623752e-28 58.0199015923724
ENSG00000154330 -7.46213451121885 0.424195676253007 -12.9145792193184 3.14718600420048e-30 1.45966486874818e-26 57.8185517206539
ENSG00000180440 -9.40590191801597 -4.50583585461253 -12.3619089306893 2.74611708937313e-28 1.01891928484101e-24 53.3186801721601
ENSG00000173641 -7.04403122688133 0.113235844175081 -11.6217455551947 9.98488437537908e-26 2.64627964188618e-22 47.2350672902806
ENSG00000106772 -5.92339402661102 1.00170641560682 -11.5393343076939 1.91123756453779e-25 4.43215991216313e-22 47.021738299893
ENSG00000119973 -7.91792187327422 -6.18609356262405 -12.0808254782595 2.61093085851497e-27 8.07299821452828e-24 47.004338946124
ENSG00000104738 4.04691257599085 8.00882505080484 11.327094124087 1.00999026544005e-24 2.08192660049375e-21 45.4299183939541
ENSG00000186642 -5.43605669770703 1.25463591181785 -11.227689358814 2.19437050001024e-24 4.070996151619e-21 44.5755325708971
ENSG00000163792 -10.3554141459859 -4.84386064229103 -10.9298663553828 2.20997136081994e-23 3.72721715326651e-20 41.1293281087519
ENSG00000088325 6.1172724462834 7.26379804587493 10.6821449173635 1.48179307259633e-22 2.29085209023393e-19 40.3254261265175
ENSG00000170312 4.72991620193012 7.14471970908391 10.6233593030023 2.3215911948099e-22 3.07643998900809e-19 40.0269592761143
ENSG00000130176 -7.55773080027863 2.30289814107148 -10.5741304383266 3.37867021252422e-22 4.17873931884996e-19 39.6895369367742
ENSG00000121440 -5.06464389289966 1.95745012679296 -10.5509204407897 4.03152177247729e-22 4.67454949518742e-19 39.5538050445297
ENSG00000131747 6.01434874952126 7.79208747913883 10.3873772211462 1.39342810233105e-21 1.52063989143798e-18 38.2282904697713
ENSG00000175084 -8.94482553803248 2.55228353830123 -10.3570721526602 1.75186866755805e-21 1.80559264002983e-18 38.1117531195265
ENSG00000258537 -9.1354720328301 -5.49308926771623 -10.6497132197884 1.89854494001425e-22 2.7093696713188e-19 37.6417115497223
ENSG00000111058 -4.8776110369991 -0.0820439248397843 -10.2576837141519 3.70402337801852e-21 3.61668640573682e-18 37.3725432173085
ENSG00000156113 -5.29239564369038 2.39809029930873 -10.2253937963212 4.72090486847149e-21 4.18181727040527e-18 37.1375359423285
ENSG00000129810 6.17769074434703 3.91236249457199 10.2250354479532 4.73362239534879e-21 4.18181727040527e-18 36.4624612398849
ENSG00000198523 -7.41758119993269 -0.30812356502284 -9.90892728808547 4.99694286134828e-20 3.56551092168205e-17 34.6811316359933
ENSG00000117650 6.95339755766368 5.24318632953859 9.94635173300062 3.78694041814755e-20 2.95962453559816e-17 34.5864587326839
