X logFC t P.Value adj.P.Val B direction
ENSG00000078081 ENSG00000078081 5.13652036671341 2.64458940500171 0.00864228984115366 0.043894818591681 -2.88864985543475 up
ENSG00000129226 ENSG00000129226 2.52579236091307 3.06275639784194 0.00240727354568357 0.0162991747516502 -1.67640891666736 up
ENSG00000030110 ENSG00000030110 1.97566480470588 3.47073993593264 0.00060121444374602 0.00536237036556546 -0.868683978134007 up
ENSG00000145979 ENSG00000145979 1.92858350773551 4.48105846338771 1.08493343863301e-05 0.000184827228223321 2.84930083083069 up
ENSG00000164543 ENSG00000164543 1.66123499761675 2.63669472650189 0.00884088887932808 0.0446059751126719 -3.38492837564794 up
ENSG00000126453 ENSG00000126453 1.58239779678208 3.93357986314414 0.000105680781546047 0.0012814312805505 0.709060926681038 up
ENSG00000163558 ENSG00000163558 1.22116657576125 2.82806951717006 0.00502225692913659 0.0292536610829959 -3.07150403843548 up
ENSG00000163932 ENSG00000163932 1.16017235100969 2.6092082841882 0.00956471291751055 0.0472681284085391 -3.58694648227666 up
ENSG00000087088 ENSG00000087088 1.12288980514601 4.11180830270493 5.16849866108899e-05 0.000697860168562759 1.20099421711211 up
ENSG00000198793 ENSG00000198793 0.985338289664813 3.27329878736575 0.00119690415507353 0.00932198399870873 -1.75849205444601 up
ENSG00000140299 ENSG00000140299 -0.787162079364879 -2.7959695940745 0.00553383167303979 0.0313409775110862 -3.12206849108558 down
ENSG00000141564 ENSG00000141564 -0.816161418305652 -2.73597945182094 0.00661833369335417 0.0359225648563799 -3.24249190259845 down
ENSG00000167657 ENSG00000167657 -1.00592713916059 -2.81877860605378 0.00516571737344031 0.0298085190395224 -3.09638610960523 down
ENSG00000129473 ENSG00000129473 -1.12040563297844 -2.69880379330731 0.00738336504052609 0.0390356763271131 -3.40552489804425 down
ENSG00000154229 ENSG00000154229 -2.53980478125063 -3.99738276962413 8.2044889658382e-05 0.00103333115610475 0.837144174434751 down
ENSG00000171791 ENSG00000171791 -2.88861794195331 -4.52843287411894 8.81276592869701e-06 0.00015467779896801 3.08154938249831 down
ENSG00000117020 ENSG00000117020 -2.93908740325499 -3.62022952086215 0.000349461982693123 0.00347812162173971 -0.311859350299089 down
